1,24,12
1,4,56
1,52,56
1,24,52
1,32,52
2,20,12
2,28,12
2,5,56
2,51,56
2,24,53
2,32,53
3,20,16
3,32,12
3,24,8
3,50,56
3,24,54
3,32,54
3,6,56
4,20,20
4,36,12
4,49,56
4,24,55
4,32,55
4,7,56
5,20,24
5,36,16
5,32,8
5,20,16
5,48,56
5,8,56
6,20,28
6,36,20
6,20,12
6,28,12
6,47,56
6,9,56
7,24,28
7,36,16
7,24,8
7,46,56
7,10,56
8,28,28
8,20,24
8,36,12
8,45,56
8,11,56
9,32,28
9,20,20
9,20,28
9,32,8
9,44,56
9,12,56
10,36,24
10,28,28
10,20,16
10,20,24
10,28,12
10,43,56
10,13,56
11,36,28
11,36,20
11,20,12
11,20,20
11,20,28
11,28,32
11,42,56
11,14,56
12,36,16
12,36,24
12,28,28
12,24,8
12,20,16
12,20,24
12,41,56
12,15,56
13,36,12
13,36,28
13,36,20
13,20,12
13,20,20
13,20,28
14,32,8
14,36,16
14,36,24
14,24,28
14,20,16
15,28,12
15,36,12
15,36,20
15,36,28
15,28,28
15,20,28
15,20,20
15,20,12
16,24,8
16,32,8
16,20,24
16,36,24
16,28,32
17,20,12
17,28,12
17,36,12
17,20,20
17,36,20
17,20,28
17,36,28
17,28,28
18,16,8
18,24,8
18,32,8
18,40,8
18,16,16
18,40,16
18,24,16
18,32,16
18,16,24
18,16,32
18,24,32
18,32,32
18,40,24
18,40,32
18,28,24
19,12,32
19,20,32
19,28,32
19,36,32
19,44,32
19,12,24
19,20,24
19,36,24
19,44,24
19,12,16
19,44,8
19,44,16
19,12,8
19,28,20
19,24,4
19,32,4
19,20,12
19,28,12
19,36,12
20,8,32
20,16,32
20,24,32
20,32,32
20,40,32
20,48,32
20,8,24
20,8,16
20,48,16
20,48,24
20,16,4
20,8,8
20,48,8
20,40,4
20,20,20
20,36,20
21,12,16
21,12,24
21,12,32
21,20,32
21,12,8
21,12,0
21,28,32
21,36,32
21,44,32
21,44,24
21,44,16
21,44,8
21,44,0
21,24,16
21,32,16
22,8,32
22,16,32
22,24,32
22,32,32
22,40,32
22,48,32
22,8,24
22,8,16
22,8,0
22,8,8
22,48,0
22,48,8
22,48,16
22,48,24
23,12,16
23,12,24
23,12,32
23,20,32
23,28,32
23,36,32
23,44,32
23,44,0
23,44,8
23,44,16
23,44,24
23,12,8
23,12,0
24,8,0
24,8,8
24,8,16
24,8,24
24,8,32
24,16,32
24,24,32
24,32,32
24,40,32
24,48,32
24,48,0
24,48,8
24,48,16
24,48,24
24,16,16
24,40,16
25,4,4
25,4,12
25,4,20
25,4,28
25,4,36
25,12,36
25,20,36
25,28,36
25,36,36
25,44,36
25,52,4
25,52,12
25,52,20
25,52,28
25,52,36
26,8,40
26,16,40
26,24,40
26,32,40
26,40,40
26,48,40
26,8,16
26,48,16
27,52,44
27,4,44
27,20,36
27,36,36
28,24,32
28,32,32
29,20,28
29,36,28
